concept,present,absent,uncertain,historical,not_mentioned,sample_1,sample_2,sample_3,sample_4,sample_5
panc_atrophy,1742,60,3,0,23681,Fatty atrophy,"Mild pancreatic ductal dilatation is noted, similar to the prior  study, and the gland appears atrophied",The pancreas is atrophic,"The pancreas is diffusely, moderately atrophic","The  residual distal pancreas body and tail is slightly atrophic with  fatty infiltration,"
panc_fatty_replacement,606,5,8,0,24867,Fatty atrophy,Mild fatty replacement of the pancreas,"The  residual distal pancreas body and tail is slightly atrophic with  fatty infiltration,","Near complete fatty replacement of the pancreas, which  appears new from YEAR MRI",Diffuse fatty atrophy of the remaining pancreas
panc_pancreatitis,530,199,228,39,24490,Differential diagnosis includes chronic pancreatitis and ampullary  stricture,ACUTE PANCREATITIS WITHOUT EVIDENCE OF COMPLICATION,Sequelae of prior pancreatitis,"Mild enlargement and peripancreatic stranding involving the  pancreatic body and tail, in keeping with acute pancreatitis","Punctate calcifications are noted  along the pancreatic neck to the uncinate process, consistent with  sequela of chronic pancreatitis"
panc_pancreatitis_acute,87,78,27,2,25292,ACUTE PANCREATITIS WITHOUT EVIDENCE OF COMPLICATION,"Mild enlargement and peripancreatic stranding involving the  pancreatic body and tail, in keeping with acute pancreatitis",Postoperative appearance of the abdomen status post Whipple  procedure with new mild-moderate pancreatic stranding consistent with  acute pancreatitis,Findings are most  consistent with acute pancreatitis,Correlate with laboratory values for acute pancreatitis
panc_pancreatitis_chronic,171,12,90,10,25203,Differential diagnosis includes chronic pancreatitis and ampullary  stricture,"Punctate calcifications are noted  along the pancreatic neck to the uncinate process, consistent with  sequela of chronic pancreatitis",secondary to chronic pancreatitis,Sequela of chronic pancreatitis,"There are a few small calcifications in the pancreatic  parenchyma, which likely represent chronic pancreatitis"
panc_necrosis,161,125,22,10,25168,Evolution of pancreatitis with increased nonenhancement of the  pancreatic body compatible with increased pancreatic necrosis,"This mass demonstrates a thick rim of  enhancement with central hypoattenuating areas, suggesting necrosis",Redemonstrated are findings of necrotizing pancreatitis  with significant parenchymal volume loss,"Overall, interval  decrease in the inflammatory changes within the upper abdomen and  surrounding the pancreas and interval decrease in size of the areas  of walled-off necrosis",One of these is enhancing in appearance and the other appears  to be somewhat necrotic
panc_pseudocyst,104,25,51,1,25305,"As before, this fluid  collection abuts the tail of the pancreas and likely represents a  posttraumatic pseudocyst",Increased mass effect on the stomach  related to the interval increase in size of the previously  demonstrated lesser sac pancreatic pseudocyst,"Heterogeneous fluid collection at the tail of the pancreas which  likely contains hemorrhagic products or necrotic debris, stable since  <DATE> and likely representing chronic pseudocyst",Interval enlarged of the pancreatic head pseudocyst currently  measuring 3,"The large pseudocyst demonstrated on prior MRI is no  longer visualized, consistent with recent cyst gastrostomy and  necrosectomy"
panc_cystic_lesion,638,9,24,13,24802,"Multi-lobular, cystic density lesions are seen within the  pancreatic head, measuring up to 3","Evaluation the pancreas demonstrates a stable 6 mm cyst in the  uncinate process, unchanged since prior CT of <DATE> (image 150,  series 2)","There are two cystic lesions in the uncinate process,  measuring 7 mm and 10 mm (4-47)","Within the pancreatic  head, there is redemonstration of a hypoattenuating, cystic lesion  (series 3, image 146) measuring 1","6 cm in size, with  multiple areas of cystic lobulation (4/100 and 4/94)"
panc_ipmn,499,21,264,2,24700,"7mm, which are likely side-branch  IPMNs,",0-CM MULTICYSTIC LESION  THAT IS LIKELY A SIDEBRANCH IPMN,"STABLE 6-MM CYSTIC LESION IN THE UNCINATE PROCESS OF THE PANCREAS  WHEN COMPARED TO PRIOR STUDY OF <DATE>, LIKELY REPRESENTING A SIDE  BRANCH INTRADUCTAL PAPILLARY MUCINOUS NEOPLASM (IPMN)","There is a stable 8 mm hypoattenuating focus within the  distal body of the pancreas, likely representing a sidebranch IPMN","Stable 8 mm hypodensity in the pancreatic body (3/115), likely  representing a sidebranch IPMN"
panc_solid_mass,1261,2372,30,3,21820,"Multi-lobular, cystic density lesions are seen within the  pancreatic head, measuring up to 3","STABLE 6-MM CYSTIC LESION IN THE UNCINATE PROCESS OF THE PANCREAS  WHEN COMPARED TO PRIOR STUDY OF <DATE>, LIKELY REPRESENTING A SIDE  BRANCH INTRADUCTAL PAPILLARY MUCINOUS NEOPLASM (IPMN)","Unchanged 10 mm low attenuating lesion within the  pancreatic head (3/120), with an associated punctate calcification  along its posterior medial border, favored to represent an IPMN","There are two cystic lesions in the uncinate process,  measuring 7 mm and 10 mm (4-47)","3 cm hypodense  lesion in the pancreatic body (series 4, image 104) not visualized on  the prior study likely due to thicker slices"
panc_malignancy,350,29,138,10,24959,"STABLE 6-MM CYSTIC LESION IN THE UNCINATE PROCESS OF THE PANCREAS  WHEN COMPARED TO PRIOR STUDY OF <DATE>, LIKELY REPRESENTING A SIDE  BRANCH INTRADUCTAL PAPILLARY MUCINOUS NEOPLASM (IPMN)","If this arises from the pancreas this likely represents a  neuroendocrine tumor, with a mucinous cystic neoplasm considered less  likely because of the location","Focal ectatic ductal branch in the pancreatic body  anteriorly again seen and unchanged, measuring up to 5 mm, and again  likely representing a side branch intraductal papillary mucinous  neoplasm (601-36)",There is a 16 x 6 mm hypodense lesion in the inferior pancreatic tail which is unchanged from prior examinations and likely represents a side branch intraductal papillary mucinous neoplasm,"Hypovascular ill-defined pancreatic head mass with pancreatic and biliary ductal obstruction, corresponding to known pancreatic adenocarcinoma"
panc_duct_dilation,1150,3324,14,4,20994,"Mildly prominent main pancreatic duct, measuring up to 5  mm, especially within the head and neck/proximal body, previously 3mm",The pancreatic duct is minimally prominent measuring up to  3-mm in diameter,"The pancreas demonstrates mild ductal dilatation up to 4 mm,  nonspecific",The previously noted pancreatic ductal prominence  is less evident on the current exam,"Mild pancreatic ductal dilatation is noted, similar to the prior  study, and the gland appears atrophied"
panc_calcification,598,575,7,0,24306,Punctate calcifications are seen in the pancreatic head,"Unchanged 10 mm low attenuating lesion within the  pancreatic head (3/120), with an associated punctate calcification  along its posterior medial border, favored to represent an IPMN","Contains scattered calcifications, possibly the sequela of  prior pancreatitis","Punctate calcifications are noted  along the pancreatic neck to the uncinate process, consistent with  sequela of chronic pancreatitis","Single pinpoint calcification near the pancreatic head,"
panc_peripancreatic_inflam,587,340,9,11,24539,"There is peripancreatic fluid and fat stranding surrounding the  swollen-appearing pancreas, concerning for acute pancreatitis",Stable degree of peripancreatic fluid,There is mild  diffuse peripancreatic edema,"Mild enlargement and peripancreatic stranding involving the  pancreatic body and tail, in keeping with acute pancreatitis","There is mild peripancreatic fluid and fat stranding, with  mild heterogeneous parenchymal enhancement"
panc_divisum_annular,34,1,1,0,25450,FINDINGS COMPATIBLE WITH PANCREAS DIVISUM,"The pancreatic head parenchyma encircles the second duodenum,  consistent with annular pancreas",Pancreas divisum,Incidental finding of pancreas divisum,Question of pancreas divisum with the pancreatic duct  measuring up to 2-mm
panc_stent,211,11,3,2,25259,Stable position of the stent  extending from the main pancreatic duct into the anastomosed jejunal  loop,The distal pigtail of a pancreatic duct stent  terminates in the third portion of the duodenum,Short stent extending into  the pancreaticojejunostomy is no longer seen,A  small 1 x 1 cm fluid collection closely associated with the drain  approaching the pancreas tail resection site (series 4 image 82)  appears similar to the prior study,The  pancreatic duct stent has been removed
panc_transplant,23,0,0,0,25463,The transplant pancreas in the right  lower quadrant has not enhanced as well as the native pancreas due to  phase of contrast bolus timing,"A pancreatic transplant is noted in the right lower quadrant, with  normal homogeneous enhancement","Transplanted pancreas in the upper anterior abdominal with mild prominence of the main pancreatic duct, unchanged",See below for transplant,A right lower quadrant pancreas  transplant is identified
panc_postop_resection,1100,9,11,3,24363,Again seen are postsurgical changes of subtotal  pancreatectomy,Status post Whipple procedure,Status post resection of the head of the pancreas,Stable appearance of the postoperative changes related to a pylorus  sparing pancreaticoduodenectomy,Postsurgical changes noted following  pancreaticoduodenectomy
panc_explicit_normal,20197,12,3,0,5274,"The liver, gallbladder, spleen, pancreas, adrenal glands, and kidneys  appear normal",The pancreas is normal,Normal,Normal,Normal
panc_no_abnormality,24,0,0,0,25462,No abnormality of the pancreas identified,No significant abnormality,No significant abnormality,No abnormality at the pancreaticojejunostomy,No significant abnormality
